speed_kmh,iso,distance_m,axis,bew_mean,bew_sd,mtf50_mean,mtf50_sd,n_frames
80,800,2.5,V,3.7266666666666666,0.5469803469961237,0.16383333333333333,0.030844671338822856,9
80,800,3.5,H,4.7965,0.4833566086349819,0.10406,0.009811920188106796,10
80,800,3.5,V,4.071,0.219732160191043,0.14193,0.007987079844626845,10
80,800,4.5,H,5.143888888888889,0.31471989309719695,0.09878888888888888,0.006315792595637629,9
80,800,4.5,V,4.3533333333333335,0.3394296687091448,0.1264722222222222,0.009570629260630901,9
80,800,5.5,H,5.5975,0.4005152930912875,0.090535,0.007050809646180121,10
80,800,5.5,V,4.6825,0.27740113353930024,0.11632,0.006783976218511779,10
80,800,6.5,H,6.598888888888889,0.5309059343340508,0.07809444444444444,0.010045224127802113,9
80,800,6.5,V,6.173333333333334,0.38103477531584956,0.08257222222222221,0.006397270468289148,9
80,1600,2.5,H,4.848000000000001,1.2432622857269948,0.15126,0.05372400560064167,10
80,1600,2.5,V,4.67725,1.3014823012840226,0.1577775,0.026468766840477394,10
80,1600,3.5,H,4.357,1.3594426962709554,0.12845,0.038785184743089146,10
80,1600,3.5,V,3.6729999999999996,0.6462550236211363,0.18022,0.04359294157952129,10
80,1600,4.5,H,5.3275,0.36598611084757476,0.096025,0.005783033133419022,10
80,1600,4.5,V,4.5355,0.3094210543723374,0.12201999999999999,0.010218914923915468,10
80,1600,5.5,H,5.470555555555555,0.4556344782583707,0.09212222222222223,0.006302237257073433,9
80,1600,5.5,V,4.524444444444445,0.24012294304746842,0.11750000000000001,0.007600575636094943,9
80,1600,6.5,H,6.646111111111111,0.6804583830853369,0.07825555555555555,0.009447964213404806,9
80,1600,6.5,V,6.427777777777778,0.4637962315979342,0.08035555555555556,0.006681431566496642,9
