speed_kmh,shutter_us,illum_lx,iso,axis,frame,bew_px,mtf50_cy_px,n_roi
0,500,40000,640,H,03.png,3.2300000000000004,0.17125,2
0,500,40000,640,H,04.png,3.245,0.16970000000000002,2
0,500,40000,640,H,05.png,3.24,0.17070000000000002,2
0,500,40000,640,H,06.png,3.2350000000000003,0.1699,2
0,500,40000,640,H,07.png,3.245,0.1709,2
0,500,40000,640,H,08.png,3.24,0.16955,2
0,500,40000,640,H,09.png,3.2199999999999998,0.16915,2
0,500,40000,640,H,10.png,3.245,0.17025,2
0,500,40000,640,V,01.png,3.1550000000000002,0.17835,2
0,500,40000,640,V,02.png,3.1399999999999997,0.1769,2
0,500,40000,640,V,03.png,3.115,0.18025,2
0,500,40000,640,V,04.png,3.1500000000000004,0.17554999999999998,2
0,500,40000,640,V,05.png,3.1550000000000002,0.17559999999999998,2
0,500,40000,640,V,06.png,3.1550000000000002,0.17509999999999998,2
0,500,40000,640,V,07.png,3.13,0.1778,2
0,500,40000,640,V,08.png,3.1500000000000004,0.1775,2
0,500,40000,640,V,09.png,3.165,0.17604999999999998,2
0,500,40000,640,V,10.png,3.185,0.1753,2
10,50,15000,1600,H,01.png,3.0949999999999998,0.17254999999999998,2
10,50,15000,1600,H,02.png,4.25,0.12465,2
10,50,15000,1600,H,03.png,2.795,0.1859,2
10,50,15000,1600,H,04.png,3.3899999999999997,0.15610000000000002,2
10,50,15000,1600,H,05.png,4.655,0.11965,2
10,50,15000,1600,H,06.png,2.805,0.18109999999999998,2
10,50,15000,1600,H,07.png,3.4699999999999998,0.15555000000000002,2
10,50,15000,1600,H,08.png,3.985,0.13879999999999998,2
10,50,15000,1600,H,09.png,3.91,0.13865,2
10,50,15000,1600,H,10.png,4.465,0.11845,2
10,50,15000,1600,V,01.png,2.875,0.18675,2
10,50,15000,1600,V,02.png,3.29,0.15439999999999998,2
10,50,15000,1600,V,03.png,2.855,0.19315,2
10,50,15000,1600,V,04.png,3.04,0.1713,2
10,50,15000,1600,V,05.png,3.4050000000000002,0.1533,2
10,50,15000,1600,V,06.png,2.915,0.18785000000000002,2
10,50,15000,1600,V,07.png,3.02,0.17615,2
10,50,15000,1600,V,08.png,3.165,0.164,2
10,50,15000,1600,V,09.png,3.125,0.1686,2
10,50,15000,1600,V,10.png,3.23,0.15585,2
10,50,40000,1600,H,01.png,3.9850000000000003,0.13115,2
10,50,40000,1600,H,02.png,4.17,0.13324999999999998,2
10,50,40000,1600,H,03.png,4.015000000000001,0.13845,2
10,50,40000,1600,H,04.png,3.7800000000000002,0.14305,2
10,50,40000,1600,H,05.png,3.5549999999999997,0.14935,2
10,50,40000,1600,H,06.png,3.4699999999999998,0.14945,2
10,50,40000,1600,H,07.png,3.35,0.1558,2
10,50,40000,1600,H,08.png,3.5999999999999996,0.14955000000000002,2
10,50,40000,1600,H,09.png,3.2,0.1559,2
10,50,40000,1600,H,10.png,3.295,0.15985,2
10,50,40000,1600,V,01.png,3.415,0.15034999999999998,2
10,50,40000,1600,V,02.png,3.51,0.1501,2
10,50,40000,1600,V,03.png,3.375,0.15325,2
10,50,40000,1600,V,04.png,3.365,0.15605000000000002,2
10,50,40000,1600,V,05.png,3.42,0.155,2
10,50,40000,1600,V,06.png,3.42,0.15905,2
10,50,40000,1600,V,07.png,3.48,0.15589999999999998,2
10,50,40000,1600,V,08.png,3.385,0.15889999999999999,2
10,50,40000,1600,V,09.png,3.4299999999999997,0.1552,2
10,50,40000,1600,V,10.png,3.42,0.1571,2
10,100,15000,1600,H,01.png,2.955,0.17454999999999998,2
10,100,15000,1600,H,02.png,4.12,0.13245,2
10,100,15000,1600,H,03.png,4.535,0.1157,2
10,100,15000,1600,H,04.png,2.96,0.1762,2
10,100,15000,1600,H,05.png,4.66,0.1158,2
10,100,15000,1600,H,06.png,3.0,0.17149999999999999,2
10,100,15000,1600,H,07.png,3.38,0.15445,2
10,100,15000,1600,H,08.png,4.16,0.13115,2
10,100,15000,1600,H,09.png,4.2,0.12685,2
10,100,15000,1600,H,10.png,4.705,0.1147,2
10,100,15000,1600,V,01.png,2.8049999999999997,0.19319999999999998,2
10,100,15000,1600,V,02.png,3.24,0.1637,2
10,100,15000,1600,V,03.png,3.33,0.15625,2
10,100,15000,1600,V,04.png,2.8,0.19085,2
10,100,15000,1600,V,05.png,3.38,0.1565,2
10,100,15000,1600,V,06.png,2.79,0.19585,2
10,100,15000,1600,V,07.png,2.955,0.17809999999999998,2
