condition,lux,iso,shutter_us,speed_kmh,frame,bew_h,bew_v
15000lx_1600_050us_10,15000,1600,50,10,03.png,0.9175,1.0822
15000lx_1600_050us_10,15000,1600,50,10,04.png,0.9709,1.1259
15000lx_1600_050us_10,15000,1600,50,10,05.png,0.9183,1.0618
15000lx_1600_050us_10,15000,1600,50,10,06.png,0.9225,1.0792
15000lx_1600_050us_10,15000,1600,50,10,07.png,0.9602,1.1095
15000lx_1600_050us_10,15000,1600,50,10,08.png,0.9610,1.1082
15000lx_1600_050us_10,15000,1600,50,10,09.png,0.9719,1.1132
15000lx_1600_050us_10,15000,1600,50,10,10.png,0.9487,1.0893
15000lx_1600_050us_30,15000,1600,50,30,01.png,0.9412,1.0634
15000lx_1600_050us_30,15000,1600,50,30,02.png,0.9748,1.1083
15000lx_1600_050us_30,15000,1600,50,30,03.png,0.9822,1.1224
15000lx_1600_050us_30,15000,1600,50,30,04.png,0.9275,1.0844
15000lx_1600_050us_30,15000,1600,50,30,05.png,0.9631,1.0996
15000lx_1600_050us_30,15000,1600,50,30,06.png,0.9879,1.1227
15000lx_1600_050us_30,15000,1600,50,30,07.png,0.9694,1.1106
15000lx_1600_050us_30,15000,1600,50,30,08.png,0.9546,1.1025
15000lx_1600_050us_30,15000,1600,50,30,09.png,0.9623,1.1226
15000lx_1600_050us_30,15000,1600,50,30,10.png,0.9703,1.0996
15000lx_1600_050us_50,15000,1600,50,50,01.png,0.9901,1.1264
15000lx_1600_050us_50,15000,1600,50,50,02.png,1.0014,1.1269
15000lx_1600_050us_50,15000,1600,50,50,03.png,0.9969,1.0989
15000lx_1600_050us_50,15000,1600,50,50,04.png,1.0152,1.1302
15000lx_1600_050us_50,15000,1600,50,50,05.png,1.0079,1.1335
15000lx_1600_050us_50,15000,1600,50,50,06.png,1.0139,1.1209
15000lx_1600_050us_50,15000,1600,50,50,07.png,1.0031,1.1281
15000lx_1600_050us_50,15000,1600,50,50,08.png,0.9867,1.1183
15000lx_1600_050us_50,15000,1600,50,50,09.png,0.9997,1.1311
15000lx_1600_050us_50,15000,1600,50,50,10.png,0.9737,1.1166
15000lx_1600_050us_70,15000,1600,50,70,01.png,1.0374,1.1197
15000lx_1600_050us_70,15000,1600,50,70,02.png,1.0054,1.0769
15000lx_1600_050us_70,15000,1600,50,70,03.png,1.0150,1.0852
15000lx_1600_050us_70,15000,1600,50,70,04.png,1.0158,1.1148
15000lx_1600_050us_70,15000,1600,50,70,05.png,1.0039,1.1242
15000lx_1600_050us_70,15000,1600,50,70,06.png,1.0282,1.1250
15000lx_1600_050us_70,15000,1600,50,70,07.png,1.0171,1.1044
15000lx_1600_050us_70,15000,1600,50,70,08.png,1.0427,1.1375
15000lx_1600_050us_70,15000,1600,50,70,09.png,1.0442,1.1391
15000lx_1600_050us_70,15000,1600,50,70,10.png,1.0330,1.1099
15000lx_1600_100us_00,15000,1600,100,0,01.png,1.0655,1.1968
15000lx_1600_100us_00,15000,1600,100,0,02.png,1.0618,1.1950
15000lx_1600_100us_00,15000,1600,100,0,03.png,1.0557,1.1965
15000lx_1600_100us_00,15000,1600,100,0,04.png,1.0601,1.2050
15000lx_1600_100us_00,15000,1600,100,0,05.png,1.0806,1.1953
15000lx_1600_100us_00,15000,1600,100,0,06.png,1.0700,1.1951
15000lx_1600_100us_00,15000,1600,100,0,07.png,1.0707,1.2001
15000lx_1600_100us_00,15000,1600,100,0,08.png,1.0680,1.2027
15000lx_1600_100us_00,15000,1600,100,0,09.png,1.0667,1.2058
15000lx_1600_100us_00,15000,1600,100,0,10.png,1.0644,1.1990
15000lx_1600_100us_10,15000,1600,100,10,01.png,1.0360,1.1665
15000lx_1600_100us_10,15000,1600,100,10,02.png,1.1114,1.2067
15000lx_1600_100us_10,15000,1600,100,10,03.png,1.1326,1.2308
15000lx_1600_100us_10,15000,1600,100,10,04.png,1.0357,1.1893
15000lx_1600_100us_10,15000,1600,100,10,05.png,1.1396,1.2211
15000lx_1600_100us_10,15000,1600,100,10,06.png,1.0344,1.1665
